language1,language2,paradigm1,paradigm2,common_actors
PowerShell,HTML,scripted,declarative,20
PowerShell,CSS,scripted,declarative,9
PowerShell,XSLT,scripted,declarative,1
PowerShell,Elm,scripted,declarative,1
PowerShell,PLpgSQL,scripted,declarative,0
PowerShell,Nix,scripted,declarative,0
Vim script,Roff,scripted,undefined,0
Vim script,SaltStack,scripted,undefined,1
Vim script,Vala,scripted,undefined,0
Vim script,Shell,scripted,scripted,20
Vim script,PowerShell,scripted,scripted,1
Vim script,Vim script,scripted,scripted,353
Vim script,Emacs Lisp,scripted,scripted,2
Vim script,Batchfile,scripted,scripted,0
Vim script,PHP,scripted,procedural,1
Vim script,C++,scripted,procedural,5
Vim script,JavaScript,scripted,oob,29
Vim script,Python,scripted,oob,32
Vim script,Java,scripted,oob,6
Vim script,Ruby,scripted,oob,23
Vim script,C#,scripted,oob,2
Vim script,TypeScript,scripted,oob,4
Vim script,Objective-C,scripted,oob,0
Vim script,Jupyter Notebook,scripted,oob,0
Vim script,Kotlin,scripted,oob,1
Vim script,Dart,scripted,oob,1
Vim script,Go,scripted,multi,17
Vim script,Swift,scripted,multi,2
Vim script,Scala,scripted,multi,3
Vim script,R,scripted,multi,0
Vim script,Rust,scripted,multi,1
Vim script,Perl,scripted,multi,1
Vim script,Lua,scripted,multi,2
Vim script,CoffeeScript,scripted,multi,3
Vim script,Matlab,scripted,multi,0
Vim script,Julia,scripted,multi,0
Vim script,Visual Basic,scripted,multi,1
Vim script,D,scripted,multi,0
Vim script,F#,scripted,multi,0
Vim script,Assembly,scripted,machine,0
Vim script,C,scripted,imperative,12
Vim script,Arduino,scripted,imperative,0
Vim script,Fortran,scripted,imperative,0
Vim script,Elixir,scripted,functional,2
Vim script,Groovy,scripted,functional,0
Vim script,Haskell,scripted,functional,2
Vim script,Clojure,scripted,functional,1
Vim script,Erlang,scripted,functional,2
Vim script,OCaml,scripted,functional,1
Vim script,Common Lisp,scripted,functional,0
Vim script,HTML,scripted,declarative,23
Vim script,CSS,scripted,declarative,17
Vim script,XSLT,scripted,declarative,2
Vim script,Elm,scripted,declarative,0
Vim script,PLpgSQL,scripted,declarative,0
Vim script,Nix,scripted,declarative,0
Emacs Lisp,Roff,scripted,undefined,0
Emacs Lisp,SaltStack,scripted,undefined,0
Emacs Lisp,Vala,scripted,undefined,1
Emacs Lisp,Shell,scripted,scripted,9
Emacs Lisp,PowerShell,scripted,scripted,1
Emacs Lisp,Vim script,scripted,scripted,2
Emacs Lisp,Emacs Lisp,scripted,scripted,295
Emacs Lisp,Batchfile,scripted,scripted,0
Emacs Lisp,PHP,scripted,procedural,3
Emacs Lisp,C++,scripted,procedural,10
Emacs Lisp,JavaScript,scripted,oob,19
Emacs Lisp,Python,scripted,oob,16
Emacs Lisp,Java,scripted,oob,11
